Data,Valor,Descricao,Cliente_Fornecedor,Numero_Documento,Categoria
2024-10-01,150.00,COMPRA SUPERMERCADO ABC,SUPERMERCADO ABC,NF 001234,Alimentação
2024-10-02,80.50,REFEIÇÃO RESTAURANTE XPTO,RESTAURANTE XPTO,NF 001235,Alimentação
2024-10-03,5000.00,RECEBIMENTO PIX CLIENTE,CLIENTE MARIA SANTOS,TXID E4A5B6C7-D8E9-F0A1-B2C3-D4E5F6A7B8C9,Receitas
2024-10-04,120.00,ABASTECIMENTO VEICULAR,POSTO SHELL,NF 001236,Transporte
2024-10-05,250.00,PAGAMENTO BOLETO FORNECEDOR,FORNECEDOR ABC LTDA,123456789012,Compras
2024-10-06,89.90,ASSINATURA STREAMING,NETFLIX BRASIL,FAT 789456,Serviços
2024-10-07,1500.00,RECEBIMENTO TRANSFERENCIA,CLIENTE JOÃO SILVA,TED 987654,Receitas
2024-10-08,45.30,TRANSPORTE UBER,UBER BRASIL,CORRIDA 456123,Transporte
2024-10-09,320.00,MATERIAL ESCRITORIO,PAPELARIA CENTRAL,NF 001237,Compras
2024-10-10,650.00,HONORARIOS CONTABEIS,ESCRITORIO CONTABIL XYZ,FAT 123789,Serviços